Date,Value
2025-09-16,100000.0
2025-09-17,100091.15039
2025-09-18,100184.5
2025-09-19,100087.95117
2025-09-22,99963.25
2025-09-23,99930.40039
2025-09-24,99817.80077999999
2025-09-25,99651.75
2025-09-26,99415.59960999999
2025-09-29,99395.80077999999
2025-09-30,99372.0
2025-10-01,99597.20117
2025-10-03,99655.15039
2025-10-06,99838.55077999999
2025-10-07,99869.20117
2025-10-08,99807.05077999999
2025-10-09,99942.70117
2025-10-10,100046.25
2025-10-13,99988.25
2025-10-14,99906.40039
2025-10-15,100084.45117
2025-10-16,100346.20117
2025-10-17,100470.75
2025-10-20,100604.05077999999
2025-10-21,100629.5
2025-10-23,100652.30077999999
2025-10-24,100556.05077999999
2025-10-27,100726.95117
2025-10-28,100697.09960999999
2025-10-29,100814.80077999999
